title,href,frequencies,email,categories
Radio Tamworth,https://www.radio-uk.co.uk/radio-tamworth,Tamworth: Online,,
New KizzFM UK 90.9,https://www.radio-uk.co.uk/new-kizzfm-uk-909,City of London: 90.9 FM,,"80s, 90s, World Music"
Actual Radio,https://www.radio-uk.co.uk/actual-radio,Colchester: Online,info@actualradio.com,"Hot AC, Adult Contemporary, Pop Music"
Tide RnB,https://www.radio-uk.co.uk/tide-rnb,City of London: Online,studio@tideradio.uk,Chillout
Jukebox Radio,https://www.radio-uk.co.uk/jukebox-radio,Internet/Community,contact@jukeboxradio.live,"Disco, Comedy, Oldies"
Bridge FM Wales,https://www.radio-uk.co.uk/bridge-fm-wales,"Bridgend: 106.3 FM,Bridgend: DAB",enquiries@bridgefmradio.wales,"Variety, Pop Music, Local"
Mechanical Music Radio,https://www.radio-uk.co.uk/mechanical-music-radio,City of London: Online,mechmusicradio@outlook.com,"Variety, Oldies, Classical"
Like Chill,https://www.radio-uk.co.uk/like-chill,Internet/Community,,
Chester's Dee Radio 106.3 FM,https://www.radio-uk.co.uk/chesters-dee-radio-1063,Chester: 106.3 FM,studio@deeradio.com,"Classic Hits, Local, Pop Music"
Breeze Lounge,https://www.radio-uk.co.uk/myradio-news,Internet/Community,,"Lounge, Bossa Nova"
kmfm Thanet,https://www.radio-uk.co.uk/kmfm-thanet,Margate: 107.2 FM,,Pop Music
Sparkflame Radio,https://www.radio-uk.co.uk/sparkflame-radio,Birmingham: Online,sf.radio23@gmail.com,"Reggae, Pop Music, Variety"
Heart Plymouth 96.6,https://www.radio-uk.co.uk/heart-plymouth-966,Plymouth: 96.6 FM,Customer.Support@Global.com,Hot AC
"Radio Eilo - Jazz, Funk & Soul Radio",https://www.radio-uk.co.uk/radio-eilo-jazz-funk-soul-radio,City of London: Online,,"Soul, Jazz"
RAM FM Eighties Hit Radio,https://www.radio-uk.co.uk/ram-fm,City of London: Online,uknetwork@gmail.com,"90s, 70s, 80s"
Anthems Radio,https://www.radio-uk.co.uk/anthems-radio,"Birmingham: Online,Solihull: Online",studio@anthemsradio.com,"EDM - Electronic Dance Music, Euro Hits, Dance"
Cheeky Radio,https://www.radio-uk.co.uk/cheeky-radio,London: Online,studio@cheekyradio.co.uk,"Jazz, R&B, Soul"
HK Radio - Hull Kingston Radio,https://www.radio-uk.co.uk/hk-radio-hull-kingston-radio,Hull: 107.4 FM,studio@hullkingstonradio.com,Community
Redroad FM,https://www.radio-uk.co.uk/redroad-fm,Rotherham: 102.4 FM,studio@redroadfm.com,"Oldies, Pop Music, Variety"
Phoenix 4 Radio,https://www.radio-uk.co.uk/phoenix4-radio,Internet/Community,phoenix4radio@outlook.com,
Layradio dance,https://www.radio-uk.co.uk/layradio-dance,Macclesfield: Online,,Dance
Radio Chelmsford,https://www.radio-uk.co.uk/radio-chelmsford,Chelmsford: Online,studio@radiochelmsford.com,"Adult Contemporary, Hot AC, Local"
Upfrontdance 87.9 FM,https://www.radio-uk.co.uk/upfrontdance-879-fm,Internet/Community,,
Regency Radio,https://www.radio-uk.co.uk/regency-radio,Brighton: 107.9 FM,info@regencyradio.co.uk,"60s, 80s, 70s"
Rewind Radio Cornwall,https://www.radio-uk.co.uk/rewind-radio-cornwall,Internet/Community,studio@rewindradio.co.uk,"90s, Dance, Pop Music"
Xmas Radio,https://www.radio-uk.co.uk/christmas-radio-2022,Aber: Online,XmasRadio@rainbowradio.uk,Christmas
Heart Colchester,https://www.radio-uk.co.uk/heart-colchester,Colchester: 96.1 FM,Customer.Support@Global.com,Hot AC
3Bs Radio,https://www.radio-uk.co.uk/3bs-radio,"Bicester: Online,Brackley: Online,Buckingham: Online",hello@3bsradio.co.uk,Community
South Norfolk Radio,https://www.radio-uk.co.uk/radio-wymondham,Norwich: Online,info@snradio.uk,"Community, Pop Music, Talk"
Oldham Community Radio,https://www.radio-uk.co.uk/oldham-community-radio,Oldham: 99.7 FM,studio@oldhamcommunityradio.com,Community
Radio Smooth Essex,https://www.radio-uk.co.uk/radio-smooth-essex,Internet/Community,,
Fun Kids Junior,https://www.radio-uk.co.uk/fun-kids-junior,London: Online,,Children’s Music
Grime Radio UK,https://www.radio-uk.co.uk/grime-radio-uk,London: Online,grimeradiouk@gmail.com,Adult Contemporary
24/7 Radio Christmas,https://www.radio-uk.co.uk/247-radio-christmas,London: Online,producer@247onlineradio.com,"Variety, Easy Listening, Christmas"
Mood Love,https://www.radio-uk.co.uk/mood-love,London: Online,,Easy Listening
Blue-in-Green:RADIO,https://www.radio-uk.co.uk/blue-in-greenradio,London: Online,,"R&B, Jazz, Soul"
Bolton FM,https://www.radio-uk.co.uk/bolton-fm,Bolton: 96.5 FM,admin@boltonfm.com,"Pop Music, Community"
BOX : Radio Jazz,https://www.radio-uk.co.uk/box-radio-jazz,London: Online,hello@boxradio.net,"Jazz, Smooth Jazz"
American Classics - ROKiT Radio Network,https://www.radio-uk.co.uk/american-classics-rok-classic-radio,City of London: Online,,Classical
Palm Torbay,https://www.radio-uk.co.uk/palm-torbay,Torquay: DAB,studio@palmtorbay.com,"Pop Music, Variety, Dance"
Too Hot Radio,https://www.radio-uk.co.uk/too-hot-radio,London: Online,,Dance
Like Holiday,https://www.radio-uk.co.uk/like-holiday,Internet/Community,contact@likemedia.group,"Top 40, Adult Contemporary"
BBC Radio Foyle,https://www.radio-uk.co.uk/bbc-radio-foyle,Londonderry County Borough: 93.1 FM,,"Local, Public, News"
BBC Suffolk,https://www.radio-uk.co.uk/bbc-suffolk,Great Barton: 104.6 FM,,"Community, News, Variety"
Heart Gloucestershire 102.4,https://www.radio-uk.co.uk/heart-gloucestershire-1024,"Gloucester: 102.4 FM,Gloucester: 103.0 FM",Customer.Support@Global.com,Hot AC
BBC Surrey 104.6,https://www.radio-uk.co.uk/bbc-surrey-1046,Guildford: 104.6 FM,,"Variety, Community, Local"
KL XTRA,https://www.radio-uk.co.uk/kl-xtra,"Downham Market: DAB,Hunstanton: DAB,Kings Lynn: DAB,Norwich: Online",studio@kl1radio.co.uk,
Bayside Radio Colwyn Bay,https://www.radio-uk.co.uk/bayside-radio-colwyn-bay,Colwyn Bay: Online,community@baysideradio.co.uk,"Community, Easy Listening, Adult Contemporary"
kmfm Maidstone,https://www.radio-uk.co.uk/kmfm-maidstone,Maidstone: 105.6 FM,,Pop Music
A1 Radio,https://www.radio-uk.co.uk/a1-radio,Peterborough: Online,studio@a1radio.co.uk,"Easy Listening, Adult Contemporary, Oldies"
Rock Gospel Radio,https://www.radio-uk.co.uk/rock-gospel-radio,Birmingham: Online,info@edmontonchurchofchrist.org.uk,Gospel
Radio Jupiter,https://www.radio-uk.co.uk/radio-jupiter,Canterbury: Online,Mothership@RadioJupiter.studio,"Pop Music, Classic Hits, Modern Rock"
Radio Groovy,https://www.radio-uk.co.uk/radio-groovy,Chippenham: Online,radiogroovy@email.com,"Lounge, Easy Listening, Soundtracks"
One World Radio UK,https://www.radio-uk.co.uk/one-world-radio,"London: Online,Portsmouth: Online",,"EDM - Electronic Dance Music, Techno, Dance"
Like Anthems,https://www.radio-uk.co.uk/like-anthems,Internet/Community,paul.willett@likemedia.group,"Dance, EDM - Electronic Dance Music"
1940s Radio - ROKiT Radio Network,https://www.radio-uk.co.uk/saturn-x-rok-classic-radio,London: Online,,
Dancefmlive Love,https://www.radio-uk.co.uk/dancefmlive-love,Blackpool: Online,,"Variety, Adult Contemporary, Easy Listening"
Angel Radio Isle of Wight,https://www.radio-uk.co.uk/angel-radio-isle-of-wight,West Cowes: 91.5 FM,beverly.webster@btinternet.com,"Community, Easy Listening, Oldies"
Radio Wimborne,https://www.radio-uk.co.uk/radio-wimborne,Verwood: Online,info@radiowimborne.co.uk,"Classic Hits, Community, Adult Contemporary"
60 NORTH,https://www.radio-uk.co.uk/60-north,Shetland: 87.7 FM,onair@60north.radio,"Eclectic, Indie, Easy Listening"
Love Will Save The Day FM,https://www.radio-uk.co.uk/love-will-save-the-day-fm,London: Online,info@lovewillsavetheday.fm,
French Radio London,https://www.radio-uk.co.uk/french-radio-london,London: Online,,Talk
Groove London Radio,https://www.radio-uk.co.uk/groove-london,London: Online,groovelondon@live.com,Dance
Phoenix FM,https://www.radio-uk.co.uk/phoenix-fm,Brentwood: 98.0 FM,,"Pop Music, Adult Contemporary"
GWR Christmas,https://www.radio-uk.co.uk/british-radio-2020,Margate: Online,kbmfm@hotmail.com,Christmas
Lite RADIO,https://www.radio-uk.co.uk/lite,London: DAB+,studio@literadio.co.uk,"Pop Music, Adult Contemporary, Easy Listening"
Radio MAC Media Arts  & Culture,https://www.radio-uk.co.uk/radio-mac-media-arts-culture,Internet/Community,,
World Jam Global Radio,https://www.radio-uk.co.uk/world-jam-global-radio,London: Online,info@worldjamglobal.com,"Reggae, R&B, Soul"
Happy Hits Radio UK,https://www.radio-uk.co.uk/happy-hits-radio-uk,Internet/Community,studio@happyhits.co.uk,"Top 40, Pop Music"
Drama - ROKiT Radio Network,https://www.radio-uk.co.uk/drama-rok-classic-radio,London: Online,,
Mad Wasp Radio,https://www.radio-uk.co.uk/mad-wasp-radio,City of London: Online,studio@madwaspradio.com,"70s, 60s, 80s"
Radio Christmas,https://www.radio-uk.co.uk/radio-christmas,City of London: Online,support@radiochristmas.co.uk,Christmas
EKR - EUROPEAN KLASSIK ROCK,https://www.radio-uk.co.uk/ekr-european-klassik-rock,Canterbury: Online,TheTeam@ekrdigital.com,"Rock, Euro Hits, Classic Rock"
Radio North Angus,https://www.radio-uk.co.uk/radio-north-angus,"Arbroath: 96.6 FM,Brechin: 87.7 FM,Carnoustie: 107.5 FM,Forfar: 87.7 FM,Montrose: 87.7 FM",,"News, Educational"
CDNX,https://www.radio-uk.co.uk/cdnx2,London: Online,info@cdnxradio.co.uk,"Dance, Indie, Alternative Rock"
Surf Rock radio,https://www.radio-uk.co.uk/surf-rock-radio,City of London: Online,Info@surfrockradio.com,
Totally Wired Radio,https://www.radio-uk.co.uk/totally-wired-radio,London: Online,,
Hospital Radio Norwich,https://www.radio-uk.co.uk/hospital-radio-norwich,Norwich: Online,studio@hrnorwich.co.uk,"60s, 80s, 70s"
Cotswold Hospital Radio,https://www.radio-uk.co.uk/cotswold-hospital-radio,Cheltenham: Online,enquiries@patientstation.org.uk,"Community, Public"
NOW Radio Aberdeen,https://www.radio-uk.co.uk/now-radio-aberdeen,Aberdeen: Online,studio@mynowradio.co.uk,"Top 40, Pop Music, Variety"
Access All Aerials,https://www.radio-uk.co.uk/access-all-aerials,Exeter: Online,studio@accessallaerials.co.uk,"80s, Pop Music, Adult Contemporary"
Radio Essentials,https://www.radio-uk.co.uk/radio-essentials,Sheffield: Online,hello@radioessentials.co.uk,"70s, 80s, 60s"
The Gorilla,https://www.radio-uk.co.uk/the-gorilla,London: Online,studio@gorillaradio.co.uk,"Oldies, Modern Rock, Classic Rock"
The Crew Rock Radio,https://www.radio-uk.co.uk/the-crew-rock-radio,Nuneaton: Online,,Rock
Together Radio - Always Relaxing!,https://www.radio-uk.co.uk/the-angel,Newcastle upon Tyne: DAB+,,"Easy Listening, Romantic"
Diamond Groove,https://www.radio-uk.co.uk/diamond-groove,Barnstaple: Online,info@diamondradiouk.com,"Smooth Jazz, Soul"
Big Hits Radio UK,https://www.radio-uk.co.uk/big-hits-radio-uk,"Ballygowan: Online,Bangor: Online,Belfast: Online,Holywood: Online,Millisle: Online,Newtownards: Online,Saintfield: Online",info@bighitsradio.uk,"Classic Country, Pop Music, Classic Hits"
Premier Radio,https://www.radio-uk.co.uk/premier-radio,Wrexham: Online,studio@premier-radio.c.uk,"Community, Classic Hits, Classic Rock"
Nerve* Radio 87.9,https://www.radio-uk.co.uk/nerve-radio-879,Bournemouth: 87.9 FM,sunerve@bournemouth.ac.uk,"College, Pop Music, Indie"
Radio Faza,https://www.radio-uk.co.uk/radio-faza,Nottingham: 97.1 FM,info@radiofaza.co.uk,Community
Fosse 107 Loughborough,https://www.radio-uk.co.uk/fosse-107-loughborough,Loughborough: 107.0 FM,studio@fosse107.co.uk,
Fiesta 95 FM,https://www.radio-uk.co.uk/fiesta-95-fm,Southampton: 95.0 FM,info@fiestafm.co.uk,"Pop Music, Dance, Latino"
Stoke Mandeville Hospital Radio,https://www.radio-uk.co.uk/stoke-mandeville-hospital-radio,Aylesbury: 87.7 FM,info@smhr.co.uk,
RoXdon Radio Classic Rock,https://www.radio-uk.co.uk/roxdon-radio,London: Online,info@roxdon.com,"Classic Rock, Rock, Alternative Rock"
Fist Full of Metal,https://www.radio-uk.co.uk/fist-full-of-metal,Durham: Online,contactfistfullofmetal@gmail.com,"Metal, Classic Rock"
Massive Gold,https://www.radio-uk.co.uk/massive-gold2,Internet/Community,onair@massivegold.co.uk,"60s, 80s, 70s"
Roots Live Music Radio,https://www.radio-uk.co.uk/roots-live-music-radio,Nottingham: Online,rootslivemusicradio@gmail.com,Indie
Cam FM,https://www.radio-uk.co.uk/cam-fm,Cambridge: 97.2 FM,,"Classic Rock, College"
Rushwave 2112 Radio,https://www.radio-uk.co.uk/rushwave-2112-radio,Aberdeen: Online,,"Rock, Metal, Classic Rock"
Ram FM,https://www.radio-uk.co.uk/peak-radio2,Derby: Online,,"90s, Adult Contemporary, 80s"
New Vibes Radio,https://www.radio-uk.co.uk/new-vibes-radio,Birmingham: Online,info@newvibesradio.com,"World Music, International, Caribbean"
MIXX 80s FM,https://www.radio-uk.co.uk/mixx-80s-fm,Stoke-on-Trent: Online,,80s
Nifty UK Radio,https://www.radio-uk.co.uk/nifty-uk-radio,Internet/Community,studio@niftyukradio.co.uk,"70s, 80s, 00s"
BBC Leicester 104.9,https://www.radio-uk.co.uk/bbc-leicester-1049,Leicester: 104.9 FM,,"Variety, Community, News"
Skyline Gold Radio 102.5 FM,https://www.radio-uk.co.uk/skyline-gold-radio-1025-fm,Southampton: 102.5 FM,,
Vinyl Days Radio,https://www.radio-uk.co.uk/vinyl-days-radio,London: Online,studio@vinyldaysradio.com,"60s, 70s"
Cambridge Radio,https://www.radio-uk.co.uk/cambridge-105-1050,Cambridge: 105.0 FM,hello@cambridge.radio,"Public, Community, Pop Music"
KeeP 106,https://www.radio-uk.co.uk/keep-106,Dorchester: 106.3 FM,studio@keep106.com,"Talk, Community, Classic Hits"
Infinity Radio UK,https://www.radio-uk.co.uk/infinity-radio-uk,Manchester: Online,infinityradio@yahoo.com,"Dance, 90s, Electronic"
Leeds Student Radio,https://www.radio-uk.co.uk/leeds-student-radio,Leeds: Online,info@thisislsr.com,College
BlackPool Radio,https://www.radio-uk.co.uk/blackpool-radio,City of London: Online,blackpoolradiomail@gmail.com,
London Neo Soul Radio,https://www.radio-uk.co.uk/ln-soul-radio,London: Online,info@lnsoulradio.com,"R&B, Talk, Soul"
KNR The Beat of The Kingdom,https://www.radio-uk.co.uk/knr-the-beat-of-the-kingdom,London: Online,knr@kingdomnubia.com,
Wycombe sound 106.6 FM,https://www.radio-uk.co.uk/wycombe-sound-1066-fm,High Wycombe: 106.6 FM,,
Slice Audio,https://www.radio-uk.co.uk/slice-audio,"Belfast: Online,City of London: Online",studio@slice.audio,"Pop Music, Talk, Easy Listening"
More Radio - Mid Sussex,https://www.radio-uk.co.uk/more-radio-mid-sussex,"Crawley: 106.4 FM,Crawley: 106.8 FM",pc@moreradio.online,
ESS Radio,https://www.radio-uk.co.uk/ess-radio,London: Online,sexysouls2020@gmail.com,"Dance, 80s, 90s"
DCR - Dunoon Community Radio,https://www.radio-uk.co.uk/dcr-dunoon-community-radio,Dunoon: 97.4 FM,contact@dunooncommunityradio.org,"Community, Adult Contemporary"
OLDIES PARADISE,https://www.radio-uk.co.uk/oldies-paradise,Internet/Community,,"Oldies, 60s, 70s"
Bucks Radio,https://www.radio-uk.co.uk/bucks-radio,"Aylesbury: Online,Buckingham: Online",studio@bucks.radio,
BBC Stoke 104.1,https://www.radio-uk.co.uk/bbc-stoke-1041,Stoke-on-Trent: 94.6 FM,,"News, Community, Variety"
Intamixx Desi Radio UK,https://www.radio-uk.co.uk/intamixx-radio-uk,City of London: Online,intamixx@hotmail.com,"Hindi, Bollywood, Folk"
Blue Panda Radio Gold,https://www.radio-uk.co.uk/blue-panda-radio-gold,Waterlooville: Online,contact@bluepandaradio.com,"60s, 70s, Oldies"
Rage FM,https://www.radio-uk.co.uk/rage-fm,Taunton: 101.4 FM,,"Reggae, EDM - Electronic Dance Music"
Atlantic Country,https://www.radio-uk.co.uk/atlantic-country,London: Online,studio@thisisatlantic.co.uk,"Country, Adult Contemporary"
Keep The Faith Internet Radio,https://www.radio-uk.co.uk/keep-the-faith-internet-radio,Luton: Online,keepthefaithinternetradio@gmail.com,Soul
EKR - RETRO ROCK HiFi,https://www.radio-uk.co.uk/ekr-retro-rock2,Canterbury: 107.1 FM,TheTeam@ekrdigital.com,"70s, 80s, Classic Rock"
BBC Radio Cymru 2,https://www.radio-uk.co.uk/bbc-radio-cymru-2,Aberystwyth: Online,,"Culture, News"
EKR - ROCK,https://www.radio-uk.co.uk/ekr-easy-rock-paradise,Canterbury: Online,TheTeam@ekrdigital.com,"Rock, Classic Rock"
Linedancer Radio,https://www.radio-uk.co.uk/linedancer-radio,Southport: Online,,"Oldies, Chillout, Pop Music"
Fun Kids Party,https://www.radio-uk.co.uk/fun-kids-party,London: Online,,
Pure Radio UK,https://www.radio-uk.co.uk/pure-radio2,Bristol: Online,onair@listentopure.uk,"Classic Rock, AAA - Adult Album Alternative, Adult Contemporary"
UniqueXtra,https://www.radio-uk.co.uk/unique-xtra,Bradford: Online,,"Reggae, Soul"
Enjoy Radio,https://www.radio-uk.co.uk/enjoy-radio,City of London: Online,studio@enjoyradio.co.uk,"90s, 70s, 80s"
The Heritage Chart,https://www.radio-uk.co.uk/the-heritage-chart,Internet/Community,,
1940s Radio,https://www.radio-uk.co.uk/1940s-radio,Wotton-under-Edge: Online,info@1940sradio.com,"Blues, Jazz, Oldies"
NOW Radio Glasgow,https://www.radio-uk.co.uk/now-radio-glasgow,Glasgow: Online,studio@mynowradio.co.uk,"Pop Music, Top 40, Variety"
DevonAir Gold,https://www.radio-uk.co.uk/devonair-gold,Exeter: Online,andy@devonair.fm,
BFBS UK,https://www.radio-uk.co.uk/bfbs-uk2,London: Online,messages@bfbs.com,
Spire Radio,https://www.radio-uk.co.uk/spire-radio,Chesterfield: Online,studio@spire-radio.com,
City Beats FM 90.2,https://www.radio-uk.co.uk/city-beats-fm-902,City of London: 90.2 FM,,"House, Electronic"
Genesis Radio Birmingham,https://www.radio-uk.co.uk/genesis-radio-birmingham,Birmingham: Online,studio@genesisradiobirmingham.com,"Reggae, Soul, Community"
Bridlington Gold Radio,https://www.radio-uk.co.uk/bridlington-gold-radio,Bridlington: Online,info@bridlingtongold.co.uk,"70s, 60s, 80s"
1866 Sport,https://www.radio-uk.co.uk/1866-sport,Chesterfield: Online,reception@chesterfield-fc.co.uk,Sports
Resonance Extra,https://www.radio-uk.co.uk/resonance-extra,Brighton: DAB,extra@resonancefm.com,"Community, International, Electronic"
Radio Lisburn Live,https://www.radio-uk.co.uk/radio-lisburn-live,"Belfast: Online,Lisburn: Online",radiolisburnlive@gmail.com,Adult Contemporary
Sounds Of Brass,https://www.radio-uk.co.uk/sounds-of-brass,Girvan: Online,chris@soundsofbrass.co.uk,"World Music, Classical, Educational"
Capital Lancashire and Preston,https://www.radio-uk.co.uk/capital-lancashire-and-preston,Preston: 99.0 FM,customer.support@global.com,Pop Music
Relaxing Piano,https://www.radio-uk.co.uk/relaxing-piano,Durham: Online,info@hearme.fm,Classical
BBC Berkshire 104.4,https://www.radio-uk.co.uk/bbc-berkshire-1044,Reading: 104.4 FM,,"News, Variety, Community"
RNIB Connect Radio,https://www.radio-uk.co.uk/insight-radio,Glasgow: 101.0 FM,radio@rnib.org.uk,"Educational, Community"
kmfm West Kent,https://www.radio-uk.co.uk/kmfm-west-kent,"Sevenoaks: 101.6 FM,Tonbridge: 96.2 FM",,Pop Music
Q Radio Mid Ulster,https://www.radio-uk.co.uk/q-radio-mid-ulster,Cookstown: 106.0 FM,,"Adult Contemporary, Pop Music"
HIT Radio Greece,https://www.radio-uk.co.uk/hit-radio-greece,London: Online,office@hitradio.website,"Adult Contemporary, Top 40"
Galaxy FM 99.9,https://www.radio-uk.co.uk/galaxy-fm-999,London: 99.9 FM,,"Alternative Rock, World Music, Easy Listening"
Simulator Radio Dance,https://www.radio-uk.co.uk/simulator-radio-dance,Sheffield: Online,contact@simulatorradio.com,"Dance, House, EDM - Electronic Dance Music"
Big Beats Radio,https://www.radio-uk.co.uk/big-beats-radio,Brighton: Online,bigbeatsradiouk@gmail.com,"Techno, Trance"
Heart Oxfordshire 102.6,https://www.radio-uk.co.uk/heart-oxfordshire-1026,Oxford: 102.6 FM,Customer.Support@Global.com,Hot AC
Red Rose Radio,https://www.radio-uk.co.uk/red-rose-radio,Chorley: Online,,
Rhythm City FM,https://www.radio-uk.co.uk/rhythm-city-fm,City of London: Online,,"Reggae, Caribbean, R&B"
Underground Kollektiv,https://www.radio-uk.co.uk/underground-kollektiv,City of London: Online,info@undergroundkollektiv.co.uk,"Techno, House"
Sonic Stream,https://www.radio-uk.co.uk/sonic-stream,Birmingham: Online,sonicstreamradio@gmail.com,Electronic
Salisbury Radio,https://www.radio-uk.co.uk/salisbury-radio,Salisbury: DAB,hello@salisburyradio.co.uk,"Pop Music, Top 40, Adult Contemporary"
Trax Radio Hard Dance & Bounce,https://www.radio-uk.co.uk/trax-radio-hard-dance-bounce,Stoke-on-Trent:,admin@trax-radio-uk.com,EDM - Electronic Dance Music
Radio Maesteg,https://www.radio-uk.co.uk/radio-maesteg,Maesteg: Online,,"80s, Pop Music, 90s"
Lyca Radio - Leicester,https://www.radio-uk.co.uk/lyca-radio-leicester,Internet/Community,info@lycaradio.com,"Bollywood, World Music"
Muzikmatrix,https://www.radio-uk.co.uk/muzikmatrix,London: Online,muzikmatrix@gmail.com,"Hip Hop, Soul, R&B"
Vibe Central Radio,https://www.radio-uk.co.uk/phatbeatz-radio,Internet/Community,Studio@vibecentral.uk,"Disco, Electronic, Dance"
Hospital Radio Ipswich,https://www.radio-uk.co.uk/hospital-radio-ipswich,Ipswich: Online,,
Classics Radio,https://www.radio-uk.co.uk/classics-radio,Oxford: Online,classicsradiouk@gmail.com,"Soundtracks, Culture, Classical"
Radio Mablethorpe,https://www.radio-uk.co.uk/radio-mablethorpe,Internet/Community,,"Community, Adult Contemporary, Talk"
Heart South Hams 100.5,https://www.radio-uk.co.uk/heart-south-hams-1005,Exeter: 100.5 FM,Customer.Support@Global.com,Hot AC
Codesouth FM,https://www.radio-uk.co.uk/codesouth-fm,London: 88.8 FM,codesouth@hotmail.co.uk,Dance
ILC Tamil,https://www.radio-uk.co.uk/ilc-tamil,London: Online,ilctamilradio@gmail.com,Tamil
BBC Derby 104.5,https://www.radio-uk.co.uk/bbc-derby-1045,Derby: 104.5 FM,,"Community, News, Variety"
CamRadio Derbyshire,https://www.radio-uk.co.uk/camradio-derbyshire,Matlock: Online,,"Pop Music, Adult Contemporary"
3TFM Community Radio for Health,https://www.radio-uk.co.uk/3tfm,Ardrossan: 103.1 FM,admin@3tfm.org.uk,"Top 40, Community"
Affinity Radio North East,https://www.radio-uk.co.uk/radio-shields,"Durham: DAB+,Gateshead: DAB+,Newcastle upon Tyne: DAB+,North Shields: DAB+,South Shields: DAB+,Sunderland: DAB+",studio@affinityradio.uk,Community
Love Medway Radio,https://www.radio-uk.co.uk/love-medway-radio,Rochester: Online,radio@lovemedway.co.uk,"Top 40, Pop Music, Talk"
Radio Pembrokeshire,https://www.radio-uk.co.uk/radio-pembrokeshire,Narberth: 102.5 FM,enquiries@radiopembrokeshire.wales,Adult Contemporary
Drums Radio,https://www.radio-uk.co.uk/drums-radio,London: Online,info@drumsradio.com,House
Maxi Music Radio,https://www.radio-uk.co.uk/maxi-music-radio,City of London: Online,italoscenepr@gmail.com,"80s, Euro Hits, Dance"
Capital Brighton 107.2 FM,https://www.radio-uk.co.uk/capital-brighton-1072-fm,Brighton: 107.2 FM,customer.support@global.com,Pop Music
BBC Cambridgeshire 96.0,https://www.radio-uk.co.uk/bbc-cambridgeshire-960,Cambridge: 96.0 FM,,"News, Variety, Community"
Heart Crawley & Surrey 102.7,https://www.radio-uk.co.uk/heart-crawley-surrey-1027,"Crawley: 102.7 FM,Horsham: 102.7 FM",,Hot AC
Q Radio Tyrone and Fermanagh,https://www.radio-uk.co.uk/q-radio-tyrone-and-fermanagh,Enniskillen: 101.2 FM,,"Adult Contemporary, Pop Music"
Classic Hits C100,https://www.radio-uk.co.uk/classic-hits-c100,London: Online,studio@c1hundred.co.uk,"60s, 80s, 70s"
Colne Radio 106.6,https://www.radio-uk.co.uk/colne-radio,Wivenhoe: 106.6 FM,studio@colneradio.net,"Community, Oldies, Pop Music"
The Voice,https://www.radio-uk.co.uk/the-voice,"Barnstaple: 107.8 FM,Barnstaple: 106.1 FM",info@thevoicefm.co.uk,
EKR - GOLD,https://www.radio-uk.co.uk/ekr-oldies-paradise,Canterbury: Online,TheTeam@ekrdigital.com,Oldies
Devon Music Radio,https://www.radio-uk.co.uk/devon-music-radio,Exeter: Online,jimhowat@hotmail.com,"90s, 70s, 80s"
LCR FM,https://www.radio-uk.co.uk/lcr-fm,Lincoln: 103.6 FM,studio@lcrlincoln.com,
GWR 80s & 90s,https://www.radio-uk.co.uk/invicta-radio-love,Internet/Community,,"80s, 90s"
BBC Arabic (إذاعة بي بي سي العربية),https://www.radio-uk.co.uk/bbc-arabic,"Abu Dhabi: Online,Algiers: Online,Amman: Online,Baghdad: Online,Baghdad: Online,Beirut: Online,Cairo: Online,Casablanca: Online,Damascus: Online,Khartoum: Online,London: Online,Manama: Online,Mogadishu: Online,N'Djamena: Online,Ramallah: Online,Riyadh: Online,Sanaa: Onlin
e,Tripoli: Online,Tunis: Online,Tunis: Online",,"International, News, Talk"
Jam Radio UK,https://www.radio-uk.co.uk/jam-radio-uk,Birmingham: Online,info@jamradio.co.uk,"60s, 70s, 80s"
NonStop90s Radio,https://www.radio-uk.co.uk/nonstop90s-radio,Internet/Community,studio@nonstop90s.net,
BOX : XRock Radio,https://www.radio-uk.co.uk/box-xrock,London: Online,hello@boxradio.net,"Rock, Classic Rock, Metal"
Crescent Community Radio,https://www.radio-uk.co.uk/crescent-community-radio,Rochdale: 97.0 FM,studio@crescentradio.net,"Islam, Community"
UKG Radio,https://www.radio-uk.co.uk/ukg-radio,Internet/Community,hello@ukgradio.co.uk,"Electronic, House"
SG1 Radio,https://www.radio-uk.co.uk/sg1-radio,Stevenage: Online,info@sg1radio.co.uk,"80s, 70s, 90s"
Raidió Fáilte,https://www.radio-uk.co.uk/raidio-failte,Belfast: 107.1 FM,,
Voyager Radio,https://www.radio-uk.co.uk/voyager-radio,Scunthorpe: Online,,"Top 40, Oldies, Pop Music"
Easy Hits Radio,https://www.radio-uk.co.uk/easy-hits-radio,Internet/Community,studio@easyhitsradio.co.uk,"Pop Music, 90s, Adult Contemporary"
BBC Wiltshire 104.3,https://www.radio-uk.co.uk/bbc-wiltshire-1043,Calne: 104.3 FM,,"News, Classic Rock"
Coast & County,https://www.radio-uk.co.uk/coast-county,Bradford: Online,studio@coastandcountyradio.co.uk,
Capital Leicestershire,https://www.radio-uk.co.uk/capital-leicestershire,Leicester: 105.4 FM,customer.support@global.com,Pop Music
24-7 Romance,https://www.radio-uk.co.uk/24-7-romance,London:,nicheradio247@gmail.com,"80s, 60s, 70s"
Forth Valley Radio,https://www.radio-uk.co.uk/forth-valley-radio,Tillicoultry: Online,,
SFM Radio,https://www.radio-uk.co.uk/sfm-radio,Sittingbourne: 106.9 FM,studio@sfmradio.com,Variety
